'','type','ability','stat','shape','color','habitat','egg_group'
bulbasaur,B,B,3,7,4,2,0
charmander,9,C,5,5,7,3,0
squirtle,A,D,1,5,1,8,0
caterpie,6,1,2,D,4,1,2
weedle,6,1,5,D,2,1,2
pidgey,0,F,5,8,2,1,3
rattata,0,E,5,7,6,2,4
spearow,0,F,5,8,2,5,3
ekans,3,4,0,1,6,2,4
pikachu,C,9,5,7,9,1,4
sandshrew,4,8,1,5,9,5,4
nidorina,3,2,2,7,1,2,E
clefairy,H,2,2,5,5,3,5
vulpix,9,0,4,7,2,2,4
jigglypuff,0,2,2,B,5,2,5
zubat,3,3,5,8,6,0,3
oddish,B,G,3,6,1,2,6
paras,6,9,0,D,7,1,2
venonat,6,E,2,B,6,1,2
diglett,4,8,5,4,2,0,4
meowth,0,H,5,7,9,7,4
psyduck,A,6,3,5,9,8,1
mankey,1,0,0,5,2,3,4
growlithe,9,4,0,7,2,2,4
poliwag,A,B,5,6,1,8,1
abra,D,A,3,5,2,7,7
machop,1,8,0,5,3,3,7
bellsprout,B,G,0,B,4,1,6
tentacool,A,B,4,9,1,6,8
geodude,5,F,1,3,2,3,9
ponyta,9,E,5,7,9,2,4
slowpoke,A,C,2,7,5,8,0
magnemite,C,6,3,3,3,5,9
doduo,0,E,0,6,2,2,3
seel,A,B,4,2,8,6,1
grimer,3,1,0,3,6,7,A
shellder,A,3,1,0,6,6,8
gastly,7,8,3,0,6,0,A
onix,5,F,1,1,3,0,9
drowzee,D,F,4,B,9,2,7
krabby,A,G,0,D,7,8,8
voltorb,C,7,5,0,7,7,9
exeggcute,B,G,1,A,5,1,6
cubone,4,F,1,5,2,3,0
hitmonlee,1,7,0,B,2,7,7
lickitung,0,2,2,5,5,2,0
koffing,3,8,1,0,6,7,A
rhyhorn,4,D,1,7,3,5,0
chansey,0,C,2,5,5,7,5
tangela,B,G,1,6,1,2,6
kangaskhan,0,C,2,5,2,2,0
horsea,A,F,1,4,1,6,1
goldeen,A,F,0,2,7,8,B
staryu,A,H,5,4,2,6,8
scyther,6,E,0,C,4,2,2
jynx,E,C,3,B,7,7,7
electabuzz,C,9,5,5,9,2,7
magmar,9,D,3,5,7,3,7
pinsir,6,G,0,B,2,1,2
tauros,0,4,5,7,2,2,4
magikarp,A,F,5,2,7,8,B
lapras,A,B,2,2,1,6,0
ditto,0,7,0,0,6,7,C
eevee,0,E,4,7,2,7,4
porygon,0,0,3,6,5,7,9
omanyte,5,F,1,9,1,6,1
kabuto,5,F,1,D,2,6,1
aerodactyl,5,F,5,8,6,3,3
snorlax,0,H,2,B,0,3,0
articuno,E,A,4,8,1,4,E
zapdos,C,A,3,8,9,4,E
moltres,9,A,3,8,9,4,E
dragonair,F,7,0,1,1,8,1
mewtwo,D,A,3,5,6,4,E
mew,D,A,0,5,5,4,E
