'','type','ability','stat','shape','color','habitat','egg_group'
'charmander','9','C','5','5','7','3','0'
'charmeleon','9','C','3','5','7','3','0'
'charizard','9','C','3','5','7','3','0'
'vulpix','9','0','4','7','2','2','4'
'ninetales','9','0','4','7','9','2','4'
'growlithe','9','4','0','7','2','2','4'
'arcanine','9','4','0','7','2','2','4'
'ponyta','9','E','5','7','9','2','4'
'rapidash','9','E','5','7','9','2','4'
'magmar','9','D','3','5','7','3','7'
'flareon','9','0','0','7','7','7','4'
'moltres','9','A','3','8','9','4','E'
